Título,Autor,Gênero
O Código Da Vinci,Dan Brown,aventura e suspense
Garota Exemplar,Gillian Flynn,
Como Fazer Amigos e Influenciar Pessoas,Dale Carnegie,
Orgulho e Preconceito,Jane Austen,
O Hobbit,J.R.R. Tolkien,
A Culpa é das Estrelas,John Green,
O Poder do Hábito,Charles Duhigg,
A Sutil Arte de Ligar o F*da-se,Mark Manson,autoajuda com linguagem moderna
O Silêncio dos Inocentes,Thomas Harris,
As Aventuras de Huckleberry Finn,Mark Twain,
Dom Casmurro,Machado de Assis,Romance
Nunca Fui Santo - O Livro oficial do Marcos,Mauro Beting,Bibliografia
Só por hoje e para sempre Renato Russo Diário do recomeço,Renato Russo,Bibliografia
Bob Marley - Por ele mesmo,Marco Antonio Cardoso,Bibliografia
O senhor dos Anéis,J.R.R. Tolkien,Fantasia e Aventura
The Walking Dead - A Ascensão do governador,Robert Kirkman e Jay Bonansinga,Terror
The Walking Dead - O caminho para Woodbury,Robert Kirkman e Jay Bonansinga,
The Walking Dead - A queda do governador,Robert Kirkman e Jay Bonansinga,Terror
The Walking Dead - A queda do governador parte dois,Robert Kirkman e Jay Bonansinga,Terror
The Walking Dead - Declínio,Robert Kirkman e Jay Bonansinga,Terror